node;user;party
22637980;Aleks_Paris;#Hamon2017
8,26113E+17;JFJenmarche;Not partisan
8,20046E+17;Q_Landry;Not partisan
831838747;Chyld_Linsoumis;#JLM2017
625898313;israelpaix;Not partisan
519633149;PhilippeLoheac;Not partisan
1144506012;ADMD_63;Not partisan
2829432750;neo_politis;#Hamon2017
299049425;Bastien_BB;#JLM2017
113084801;Cedric_Bescond;#Hamon2017
4595202866;anne_beauge;Not partisan
7,35977E+17;FFMontargis;#Fillon2017
8,48142E+17;goulascht;Not partisan
425785168;roxchup;#Asselineau2017
1490529164;LaurentBibas;Not partisan
8,27558E+17;MacronInEnglish;Not partisan
19064287;Resistance2017;Not partisan
475902848;Christianehaze;#Fillon2017
1945218524;orlaine04;Not partisan
6541682;nclairembault;Not partisan
4708260844;B3nhl;#JLM2017
1863167125;militantman13;Not partisan
1013743686;arzelenn;Not partisan
3526383137;awlrdg;Not partisan
448394012;VDEBUISSON;Not partisan
2257699153;UPR_Rhone;#Asselineau2017
7,99333E+17;Phil_GUIDERDONI;Not partisan
381101243;victoire9595;#Marine2017
259528569;n0passaran;Not partisan
1336697245;barlis_c;#Hamon2017
2335714981;da_zezinha;#Asselineau2017
455692882;Angana80;#JLM2017
381874975;MarcEmmanuelS;#Fillon2017
169055522;MFfromParis;Not partisan
8,26436E+17;BerlinInsoumise;#JLM2017
2164355582;FedePS01;#Hamon2017
8,27088E+17;fraternite2017;#JLM2017
8,03006E+17;sheik94340;#Fillon2017
434449533;trocm;#Fillon2017
571129993;HurricaneTheLab;#JLM2017
54825818;amv_ac;Not partisan
1643795906;rom1_31;#Hamon2017
535518932;LeBruitLaFureur;#JLM2017
513645207;6Gwen;#JLM2017
499587379;breizhgauche;#JLM2017
333074484;hugohanr;#JLM2017
8,50785E+17;MathiasPangeois;Not partisan
472093656;Loline_B;#Hamon2017
423781346;FredSicot;#Macron2017
3078230038;GERTY___;Not partisan
560397748;FcFabienn;#JLM2017
493031776;ntwolfmother;Not partisan
300834443;CrocdeGang;Not partisan
2191323566;AlecxJPS;#JLM2017
